filename,question_1a_health_policy,question_1a_confidence,question_1a_explanation,question_1b_ghpl_categories,question_1b_confidence,question_1b_explanation,metadata_extracted,title,doc_type,health_topic,creator,year,country,language,governance_level,overall_confidence,metadata_completeness,processing_time_seconds,processed,error_message
HCM_in_donor_heart_resubmission.pdf,False,0.95,"This is a clinical case report / autopsy study describing a single patient with hypertrophic cardiomyopathy in a transplanted heart. It reads like a journal/case report authored by clinicians and does not carry indicators of an authoritative health source (no government/agency letterhead, ministerial approval, or official policy language).",False,0.95,"Content and structure are that of a medical case report/research article (patient profile, autopsy findings, discussion, references). It does not contain policy goals, legal/statutory language, a national strategy, control plan, implementation/action plan, or formal clinical guideline, so it does not fit any of the six GHPL categories.",False,,,,,,,,,,,7.74,True,
Delta-8-THC-FAQ.pdf,False,0.95,"This document is a fact sheet published by the Public Health Law Center at Mitchell Hamline School of Law (an academic/legal center), not a government health agency, national public health institute, ministry, or professional medical society. It is informational and produced by an NGO/academic center (with funding noted from a foundation), so it does not meet the criteria for an authoritative official health source.",False,0.95,"The content is a FAQ/fact sheet about Delta-8 THC (educational/public information). It does not present a formal policy, binding law, national strategy/control plan, implementation action plan, or systematically developed clinical/public health guideline, so it does not fit any of the six GHPL categories.",False,,,,,,,,,,,11.44,True,
2016_consumers_guide_to_radon_reduction.pdf,True,0.95,This is an official U.S. EPA publication (federal government agency) providing public-health-related information on radon detection and mitigation. The EPA is an authoritative government source for environmental health guidance.,False,0.95,"The document is a consumer education brochure/pamphlet (radon reduction guide) aimed at homeowners. It is informational/public education material rather than a formal policy, law, national strategy, national control plan, implementation action plan, or an evidence-based clinical/public-health guideline as defined by GHPL.",False,,,,,,,,,,,14.17,True,
Cdc_24147_DS1.pdf,True,0.95,"This document is produced by/for U.S. government public health bodies (Department of Health & Human Services / Centers for Disease Control and Prevention — Office of Public Health Genomics) and contains official conference material and a signed cover letter from a CDC office director, so it is from an authoritative health source.",False,0.95,"The content is a conference report (meeting summaries, speaker presentations, break-out session reports, appendices). It does not present a formal policy, law, national strategy, national control plan, action/implementation plan, or systematically developed clinical guideline; therefore it does not fit any of the six GHPL categories.",False,,,,,,,,,,,24.55,True,
SAGme_Report_CEQ_on_malaria_elimination_final_2019-eng.pdf,False,0.95,"This is a World Health Organization (WHO) report by the Strategic Advisory Group on Malaria Eradication (SAGme). Although WHO is an authoritative global health agency, the instructions treat WHO/UN agencies as NOT qualifying as the specified ‘authoritative health source’ (government ministries, national public health institutes, or professional bodies). Hence it is not considered a qualifying source under the provided framework.",False,0.95,"The document is an advisory/report analysing benefits, scenarios and feasibility of malaria eradication (a WHO/SAGme report). It is not a formal policy, law, national health strategy, national disease control plan, implementation/action plan, or an evidence-based clinical/public health guideline. It reads as an expert/technical report and synthesis, which does not meet any of the six GHPL categories.",False,,,,,,,,,,,35.71,True,
5f4552dc587ad3361e0438d4.pdf,False,0.95,"The document is clearly published by the World Health Organization (Organisation mondiale de la Santé) — an international/UN health agency (WHO guidance on cervical cancer control). Per the user’s explicit rules, WHO/UN agency publications are to be treated as FALSE for the “authoritative (government/etc.)” category. Identification is certain from title page, publisher details and WHO contact information.",True,0.95,"This is an evidence-based practice guide for comprehensive cervical cancer control (2nd edition) with structured chapters, recommendations, practical fiches (clinical and public health practice), and systematic content typical of formal guidelines. It therefore fits the GHPL category: GUIDELINE.",False,,,,,,,,,,,45.44,True,
1._VMMC_orientation_manual_DoH_complete.pdf,True,0.95,"This is an official manual produced by the Republic of South Africa National Department of Health (National VMMC programme) and references National Treasury RT35 transversal contracts. It uses government letterhead, includes named NDoH programme directors and contact details, and is clearly an authoritative government health document intended to guide provincial and district health officials.",False,0.9,"The content is an operational/implementation manual and toolkit (contract management framework, SLA guidance, training manuals, data verification tools, meeting templates). It does not present a high-level policy statement, a law, a national health strategy, a disease control plan, an action plan with concrete timelines/resourcing in the GHPL sense, nor is it an evidence-based clinical guideline. Therefore it does not fit any of the six GHPL categories.",False,,,,,,,,,,,100.85,True,
2017-27762.pdf,True,0.95,"Document is a Federal Register notice published by the U.S. Department of Health and Human Services (HHS), Centers for Disease Control and Prevention (CDC) / National Institute for Occupational Safety and Health (NIOSH). These are authoritative government public health agencies.",False,0.9,"This is an administrative Federal Register notice announcing availability of a final National Occupational Research Agenda and proposed data collection (NSFG). It is an announcement/release of a research agenda and data-collection notice, not a Policy, Law, National Health Strategy, National Control Plan, Action Plan, or evidence-based Guideline as defined by GHPL.",False,,,,,,,,,,,46.66,True,
M21-1III_iv_4_SecE.pdf,True,0.95,"This document is from the U.S. Department of Veterans Affairs adjudicative/medical guidance (references to M21-1, 38 CFR, VA diagnostic codes and DBQs). It is an official government/manual source used for evaluating cardiovascular conditions and cold injury residuals in Veterans, which qualifies as an authoritative government health-related source.",True,0.9,"The content is procedural, clinical/adjudicative guidance on evaluation and rating of medical conditions (definitions, required tests, interpretation rules, evaluation criteria). This matches the GHPL category 'GUIDELINE' (formal advisory/clinical practice guidance), rather than a law, strategy, or control/action plan.",True,Section E. Cardiovascular System Conditions,Policy,Cardiovascular Health,Agency,2015,United States,English,National,0.94,1.0,124.39,True,
Bulk-up-your-meals-cook-islands.pdf,True,0.85,"The document carries Heart Foundation and Pacific Heartbeat branding and a heartfoundation.org.nz link, indicating it was produced by a recognized cardiovascular health organization/charity. This is an authoritative health NGO/public health body (not a government ministry), so it qualifies as an authoritative health source for the purposes of this assessment.",False,0.95,"The content is a public education brochure/poster (Cook Islands Maori) showing healthy food combinations and nutrition advice. It is patient/public education material, not a formal policy, law, national strategy, national control plan, action plan, or evidence-based clinical guideline as defined in the GHPL glossary.",False,,,,,,,,,,,44.43,True,
